employee_id,employee_name,month,salary_amount
EMP001,张三,202401,8000
EMP001,张三,202402,8500
EMP001,张三,202403,8000
EMP001,张三,202404,9000
EMP001,张三,202405,8500
EMP001,张三,202406,8000
EMP001,张三,202407,9500
EMP001,张三,202408,8500
EMP001,张三,202409,8000
EMP001,张三,202410,9000
EMP001,张三,202411,8500
EMP001,张三,202412,10000
EMP002,李四,202401,15000
EMP002,李四,202402,15000
EMP002,李四,202403,16000
EMP002,李四,202404,15500
EMP002,李四,202405,15000
EMP002,李四,202406,16500
EMP002,李四,202407,16000
EMP002,李四,202408,15500
EMP002,李四,202409,17000
EMP002,李四,202410,16000
EMP002,李四,202411,16500
EMP002,李四,202412,17000
